user,use_tue_laptop,right_handed,platform,platform_version
1,1,1,Windows,10
2,1,1,Windows,10
4,1,1,Windows,10
6,1,1,Windows,10
7,1,1,Windows,10
14,1,1,Windows,10
17,1,1,Windows,10
21,1,1,Windows,10
22,1,1,Windows,10
23,1,1,Windows,10
25,1,0,Windows,10
26,1,1,Windows,10
30,0,1,Windows,10
32,1,1,Windows,10
33,0,1,Windows,10
34,0,1,Windows,10
35,1,1,Windows,10
40,1,1,Windows,10
42,1,1,Windows,10
43,1,1,Windows,10
45,1,1,Windows,10
47,1,1,Windows,10
49,1,1,Windows,10
50,1,1,Windows,10
54,1,1,Windows,10
56,1,1,Windows,10
57,0,1,Windows,10
58,1,1,Windows,10
59,1,1,Windows,10
62,1,0,Windows,10
63,1,1,Windows,10
65,1,1,Windows,10
70,1,1,Windows,10
73,1,1,Windows,10
81,1,1,Windows,10
82,0,1,Windows,10
83,0,1,Windows,10
84,1,1,Windows,10
85,1,1,Windows,10
86,1,1,Windows,10
87,1,1,Windows,10
89,0,1,Windows,10
96,1,1,Windows,10
98,0,1,Windows,10
100,1,1,Windows,10
101,1,1,Windows,10
102,1,0,Windows,10
103,1,0,Windows,10
104,1,1,Windows,10
105,1,0,Windows,10
106,1,0,Windows,10
109,1,1,Windows,10
111,1,1,Windows,10
113,1,1,Windows,10
114,1,1,Windows,10
116,1,1,Windows,10
121,1,1,Windows,10
122,1,1,Windows,10
124,1,0,Windows,10
125,1,1,Windows,10
130,1,1,Windows,10
133,1,1,Windows,10
135,0,1,Darwin,18.2.0
136,1,1,Windows,10
139,1,0,Windows,10
141,1,1,Windows,10
142,1,1,Windows,10
143,1,1,Windows,10
144,1,1,Windows,10
145,1,1,Windows,10
146,1,0,Windows,10
150,1,1,Windows,10
152,0,1,Windows,7
154,1,1,Windows,10
155,1,1,Windows,10
160,1,1,Windows,10
161,1,1,Windows,10
164,1,1,Windows,10
165,1,1,Windows,10
169,0,0,Windows,10
170,0,1,Windows,10
171,0,1,Windows,10
175,1,1,Windows,10
178,1,0,Windows,10
181,1,0,Windows,10
183,0,1,Windows,10
184,1,1,Windows,10
187,1,1,Windows,10
188,1,1,Windows,10
189,1,1,Windows,10
193,1,1,Windows,10
196,1,1,Windows,10
204,0,1,Windows,10
205,0,1,Windows,10
207,1,1,Windows,10
209,1,1,Windows,10
211,1,0,Windows,10
212,1,1,Windows,10
213,0,1,Windows,10
214,1,1,Windows,10
216,1,0,Windows,10
217,1,0,Windows,10
219,1,1,Windows,10
220,1,0,Windows,10
221,0,1,Windows,10
222,1,1,Windows,10
223,0,1,Darwin,17.7.0
225,1,1,Windows,10
227,1,0,Windows,10
231,1,1,Windows,10
233,1,1,Windows,10
237,1,1,Windows,10
238,1,0,Windows,10
239,1,1,Windows,10
242,1,1,Windows,10
244,1,1,Windows,10
246,1,1,Windows,10
250,1,1,Windows,10
251,1,1,Windows,10
252,1,1,Windows,10
258,1,1,Windows,10
260,1,1,Windows,10
263,1,1,Windows,10
264,1,1,Windows,10
265,0,1,Windows,10
266,1,1,Windows,10
268,0,1,Windows,10
270,1,1,Windows,10
271,0,1,Windows,10
277,1,1,Windows,10
278,1,1,Windows,10
280,1,1,Windows,10
284,1,0,Windows,10
286,0,1,Windows,10
289,1,1,Windows,10
293,1,1,Windows,10
294,1,1,Windows,10
297,1,1,Windows,10
300,1,1,Windows,10
306,1,0,Windows,10
311,1,1,Windows,10
312,1,1,Windows,10
313,1,0,Windows,10
314,1,1,Windows,10
315,1,1,Windows,10
317,1,0,Windows,10
320,1,0,Windows,10
324,1,1,Windows,10
326,0,1,Windows,10
328,1,1,Windows,10
329,1,1,Windows,10
330,1,0,Windows,10
331,1,1,Windows,10
334,1,1,Windows,10
338,1,1,Windows,10
346,1,1,Windows,10
348,0,0,Windows,10
349,1,1,Windows,10
350,1,1,Windows,10
352,0,0,Darwin,18.2.0
355,0,1,Darwin,17.7.0
356,1,1,Windows,10
361,1,1,Windows,10
366,0,1,Windows,10
367,1,1,Windows,10
368,1,1,Windows,10
371,1,1,Windows,10
372,0,1,Windows,10
380,0,1,Darwin,18.2.0
381,1,1,Windows,10
382,1,1,Windows,10
384,1,1,Windows,10
388,1,1,Windows,10
393,1,1,Windows,10
394,1,1,Windows,10
395,1,1,Windows,10
396,1,1,Windows,10
401,1,1,Windows,10
403,1,0,Windows,10
405,1,1,Windows,10
406,1,1,Windows,10
418,1,0,Windows,10
420,1,1,Windows,10
422,1,1,Windows,10
430,1,1,Windows,10
433,1,1,Windows,10
434,0,1,Windows,10
435,1,0,Windows,10
438,1,1,Windows,10
440,1,1,Windows,10
441,1,1,Windows,10
444,1,1,Windows,10
447,1,1,Windows,10
449,1,0,Windows,10
450,1,0,Windows,10
454,1,1,Windows,10
455,1,1,Windows,10
456,0,1,Windows,10
457,0,1,Windows,10
463,1,1,Windows,10
464,1,1,Windows,10
465,1,1,Windows,10
469,1,1,Windows,10
470,1,1,Windows,10
476,1,0,Windows,10
478,1,1,Windows,10
482,0,1,Darwin,17.4.0
483,0,0,Windows,10
484,1,1,Windows,10
491,1,1,Windows,10
493,1,1,Windows,10
496,1,1,Windows,10
500,1,1,Windows,10
501,1,1,Windows,10
502,1,1,Windows,10
503,1,0,Windows,10
507,1,1,Windows,10
508,0,1,Windows,10
510,1,1,Windows,10
515,1,1,Windows,10
520,1,1,Windows,10
526,1,0,Windows,10
527,1,1,Windows,10
529,0,1,Windows,10
534,1,1,Windows,10
540,1,1,Windows,10
542,0,1,Windows,10
543,1,1,Windows,10
544,1,1,Windows,10
551,1,1,Windows,10
552,1,1,Windows,10
553,1,1,Windows,10
555,0,1,Windows,10
557,1,1,Windows,10
561,1,1,Windows,10
562,1,0,Windows,10
563,1,1,Windows,10
564,1,1,Windows,10
567,0,1,Windows,10
568,1,0,Windows,10
572,1,1,Windows,10
575,1,1,Windows,10
581,1,1,Windows,10
583,0,1,Darwin,17.5.0
584,1,1,Windows,10
589,1,1,Windows,10
592,1,1,Windows,10
599,1,1,Windows,10
602,0,1,Windows,10
603,1,1,Windows,10
605,1,1,Windows,10
607,1,1,Windows,10
608,1,1,Windows,10
609,1,1,Windows,10
618,1,0,Linux,4.15.0-43-generic
620,1,1,Windows,10
623,0,0,Windows,10
624,1,1,Windows,10
625,1,0,Windows,10
626,1,0,Windows,10
627,1,1,Windows,10
630,0,1,Windows,10
632,0,0,Windows,10
640,1,1,Windows,10
644,1,0,Windows,10
646,1,1,Windows,10
649,1,1,Windows,10
650,1,1,Windows,10
655,1,1,Windows,10
656,1,1,Windows,10
658,1,1,Windows,10
659,1,1,Windows,10
661,1,1,Windows,10
665,1,1,Windows,10
667,0,1,Darwin,18.2.0
671,1,1,Windows,10
672,1,1,Windows,10
674,1,1,Windows,10
675,1,1,Windows,10
676,1,1,Windows,10
678,0,0,Windows,10
679,0,1,Windows,10
681,1,1,Windows,10
684,0,1,Windows,10
686,0,1,Windows,10
688,1,1,Windows,10
689,1,0,Windows,10
694,0,0,Windows,10
696,0,1,Windows,10
709,1,0,Windows,10
711,1,1,Windows,10
713,1,1,Windows,10
716,0,1,Darwin,17.7.0
722,1,1,Windows,10
724,1,0,Windows,10
727,1,1,Windows,10
731,1,1,Windows,10
732,0,1,Windows,10
733,1,1,Windows,10
734,1,0,Windows,10
738,0,1,Darwin,18.2.0
742,1,1,Windows,10
743,1,0,Windows,10
744,1,1,Windows,10
745,1,1,Windows,10
748,1,1,Windows,10
750,0,0,Windows,10
756,1,1,Windows,10
757,0,1,Windows,10
760,1,0,Windows,10
761,1,0,Windows,10
762,0,1,Windows,10
763,1,1,Windows,10
764,1,1,Windows,10
765,0,1,Darwin,18.2.0
766,1,1,Windows,10
769,1,1,Windows,10
771,0,1,Linux,4.15.0-45-generic
773,1,1,Windows,10
774,1,1,Windows,10
775,1,1,Windows,10
776,1,0,Windows,10
778,1,0,Windows,10
781,1,1,Windows,10
782,1,1,Windows,10
786,1,1,Windows,10
787,0,1,Windows,8.1
790,1,1,Windows,10
791,0,1,Windows,10
795,1,1,Windows,10
799,1,1,Windows,10
800,1,1,Windows,10
802,1,1,Windows,10
803,0,1,Windows,10
806,1,1,Windows,10
808,0,1,Windows,10
812,0,1,Windows,10
817,1,1,Windows,10
819,1,1,Windows,10
823,1,1,Windows,10
824,1,1,Windows,10
829,1,1,Windows,10
831,1,0,Windows,10
834,1,0,Windows,10
835,0,1,Windows,10
837,1,1,Windows,10
842,1,1,Windows,10
844,1,1,Windows,10
845,1,1,Windows,10
851,1,0,Windows,10
854,0,1,Windows,10
859,1,1,Windows,10
860,1,1,Windows,10
863,1,1,Windows,10
866,1,1,Windows,10
875,1,1,Windows,10
876,1,1,Windows,10
877,0,1,Windows,10
890,1,0,Windows,10
891,1,1,Windows,10
895,1,0,Windows,10
896,1,1,Windows,10
897,1,1,Windows,10
902,0,1,Windows,10
911,1,1,Windows,10
913,1,1,Windows,10
920,1,1,Windows,10
922,1,0,Windows,10
924,1,1,Windows,10
928,1,1,Windows,10
932,1,1,Windows,10
934,1,1,Windows,10
936,1,0,Windows,10
942,1,1,Windows,10
945,1,1,Windows,10
952,0,1,Windows,10
954,1,1,Windows,10
956,1,1,Windows,10
957,1,1,Windows,10
958,1,1,Windows,10
960,1,1,Windows,10
962,1,1,Windows,10
964,1,1,Windows,10
965,1,1,Windows,10
967,1,1,Windows,10
971,0,1,Windows,10
972,1,1,Windows,10
973,1,1,Windows,10
974,1,1,Windows,10
976,0,0,Darwin,18.2.0
981,1,1,Windows,10
983,1,1,Windows,10
987,1,1,Windows,10
988,0,1,Windows,10
990,1,1,Windows,10
995,1,0,Windows,10
997,1,1,Windows,10
998,1,0,Windows,10
1000,1,0,Windows,10
1003,1,1,Windows,10
1005,1,1,Windows,10
1009,0,1,Windows,10
1010,1,1,Windows,10
1011,1,1,Windows,10
1013,1,1,Windows,10
1017,1,0,Windows,10
1018,1,1,Windows,10
1019,1,1,Windows,10
1021,0,1,Windows,10
1024,1,1,Windows,10
1025,1,0,Windows,10
1033,1,1,Windows,10
1034,0,1,Windows,10
1035,1,1,Windows,10
1037,1,1,Windows,10
1042,0,1,Windows,10
1045,1,1,Windows,10
1050,1,1,Windows,10
1071,1,1,Windows,10
1074,1,1,Windows,10
1077,1,1,Windows,10
1078,0,1,Windows,10
1079,1,1,Windows,10
1080,0,1,Windows,10
1084,1,1,Windows,10
1086,1,0,Windows,10
1087,1,1,Windows,10
1088,1,1,Windows,10
1091,0,1,Darwin,17.7.0
1093,1,1,Windows,10
1094,1,1,Windows,10
1097,1,1,Windows,10
1098,0,0,Windows,10
1099,1,1,Windows,10
1104,1,1,Windows,10
1106,1,1,Windows,10
1108,1,1,Windows,10
1111,0,1,Windows,10
1113,1,0,Windows,10
1115,1,1,Windows,10
1117,1,1,Windows,10
1118,0,1,Windows,10
1120,1,1,Windows,10
1122,0,1,Windows,10
1123,0,1,Windows,10
1125,0,1,Windows,10
1128,1,0,Windows,10
1131,1,1,Windows,10
1132,1,1,Windows,10
1135,1,1,Windows,10
1136,1,1,Windows,10
1138,1,1,Windows,10
1142,1,1,Windows,10
1145,1,1,Windows,10
1146,1,1,Windows,10
1147,1,0,Windows,10
1149,1,1,Windows,10
1152,1,1,Windows,10
1153,1,1,Windows,10
1157,1,1,Windows,10
1158,1,1,Windows,10
1161,0,1,Windows,10
1163,1,1,Windows,10
1164,0,1,Windows,10
1165,1,1,Windows,10
1167,1,1,Windows,10
1170,1,1,Windows,10
1174,1,1,Windows,10
1176,1,1,Windows,10
1178,0,0,Darwin,15.6.0
1181,1,1,Windows,10
1182,1,0,Windows,10
1183,1,0,Windows,10
1184,1,1,Windows,10
1185,1,1,Windows,10
1187,1,1,Windows,10
1188,1,1,Windows,10
1190,1,1,Windows,10
1192,1,1,Windows,10
1197,0,1,Darwin,18.2.0
1200,1,1,Windows,10
1202,1,1,Windows,10
1213,1,1,Windows,10
1216,1,1,Windows,10
1218,1,1,Windows,10
1221,0,1,Windows,10
1222,1,1,Windows,10
1223,1,0,Windows,10
1225,1,0,Windows,10
1226,1,1,Windows,10
1227,1,1,Windows,10
1235,1,0,Windows,10
1236,1,0,Windows,10
1238,1,1,Windows,10
1243,0,1,Windows,10
1246,0,1,Windows,10
1249,1,1,Windows,10
1259,1,0,Windows,10
1260,1,1,Windows,10
1261,1,1,Windows,10
1263,1,1,Windows,10
1266,1,1,Windows,10
1274,1,1,Windows,10
1275,1,1,Windows,10
1281,1,1,Windows,10
1282,1,1,Windows,10
1284,1,1,Windows,10
1287,1,1,Windows,10
1288,1,1,Windows,10
1297,1,1,Windows,10
1298,0,0,Darwin,18.2.0
1304,1,1,Windows,10
1308,1,1,Windows,10
1311,1,1,Windows,10
1317,1,1,Windows,10
1318,1,0,Windows,10
1321,1,0,Windows,10
1323,1,1,Windows,10
1330,1,1,Windows,10
1334,1,1,Windows,10
1339,1,1,Windows,10
1341,1,1,Windows,10
1342,1,1,Windows,10
1348,0,1,Linux,4.14.98-1-MANJARO
1349,1,0,Windows,10
1350,0,1,Darwin,17.7.0
1353,1,1,Windows,10
1354,1,1,Windows,10
1359,1,1,Windows,10
1360,1,0,Windows,10
1363,1,1,Windows,10
1364,0,1,Darwin,18.2.0
1365,1,1,Windows,10
1369,1,1,Windows,10
1371,1,1,Windows,10
1372,1,1,Windows,10
1374,1,0,Windows,10
1375,1,1,Windows,10
1376,0,1,Windows,8.1
1378,1,1,Windows,10
1379,1,1,Windows,10
1380,0,1,Darwin,18.2.0
1381,1,1,Windows,10
1385,1,0,Windows,10
1387,1,1,Windows,10
1392,0,0,Darwin,17.7.0
1393,1,1,Windows,10
1394,1,1,Windows,10
1395,1,1,Windows,10
1405,0,1,Darwin,18.2.0
1406,1,1,Windows,10
1413,1,1,Windows,10
1417,1,1,Windows,10
1420,1,1,Windows,10
1422,1,1,Windows,10
1423,0,1,Windows,10
1427,0,1,Windows,10
1428,1,1,Windows,10
1432,1,1,Windows,10
1433,0,1,Windows,10
1434,1,0,Windows,10
1440,1,1,Windows,10
1442,1,1,Windows,10
1443,1,1,Windows,10
1444,1,1,Windows,10
1445,1,1,Windows,10
1446,0,1,Windows,10
1447,0,1,Windows,10
1457,1,1,Windows,10
1458,1,1,Windows,10
1459,1,1,Windows,10
1460,0,1,Windows,10
1463,1,1,Windows,10
1464,0,1,Windows,10
1465,0,1,Darwin,16.7.0
1469,0,1,Windows,10
1472,1,1,Windows,10
1479,1,1,Windows,10
1482,1,1,Windows,10
1484,1,1,Windows,10
1488,1,1,Windows,10
1492,0,1,Darwin,16.7.0
1493,1,1,Windows,10
1494,1,0,Windows,10
1497,1,1,Windows,10
1504,1,1,Windows,10
1506,1,1,Windows,10
1508,1,1,Windows,10
1509,1,1,Windows,10
1510,1,1,Windows,10
1513,1,1,Windows,10
1517,1,1,Windows,10
1518,1,1,Windows,10
1519,1,1,Windows,10
1522,1,1,Windows,10
1530,1,1,Windows,10
1534,0,1,Darwin,15.6.0
1537,1,1,Windows,10
1539,1,0,Windows,10
1541,1,0,Windows,10
1543,0,1,Windows,10
